window,model,h,rmse
Expanding,AR(1),1,0.0157
Expanding,AR(1),2,0.017
Expanding,AR(1),3,0.0171
Expanding,AR(1),4,0.0171
Expanding,MA(1),1,0.0157
Expanding,MA(1),2,0.017
Expanding,MA(1),3,0.0171
Expanding,MA(1),4,0.0171
Expanding,"ARMA(1,1)",1,0.0156
Expanding,"ARMA(1,1)",2,0.017
Expanding,"ARMA(1,1)",3,0.0171
Expanding,"ARMA(1,1)",4,0.0171
Expanding,Naive,1,0.0189
Expanding,Naive,2,0.0234
Expanding,Naive,3,0.024
Expanding,Naive,4,0.0238
Rolling,AR(1),1,0.0158
Rolling,AR(1),2,0.0171
Rolling,AR(1),3,0.0173
Rolling,AR(1),4,0.0172
Rolling,MA(1),1,0.0158
Rolling,MA(1),2,0.0171
Rolling,MA(1),3,0.0173
Rolling,MA(1),4,0.0173
Rolling,"ARMA(1,1)",1,0.0158
Rolling,"ARMA(1,1)",2,0.0171
Rolling,"ARMA(1,1)",3,0.0173
Rolling,"ARMA(1,1)",4,0.0173
Rolling,Naive,1,0.0189
Rolling,Naive,2,0.0234
Rolling,Naive,3,0.024
Rolling,Naive,4,0.0238
