Name,alpha,beta,p_alpha,r2,typ,portfolio
DLR,0.00724,0.01351,0.36606,4e-05,Defenzívny (β<1),1
SO,-0.00117,0.06124,0.83838,0.00177,Defenzívny (β<1),1
ED,0.00346,0.06818,0.61563,0.00152,Defenzívny (β<1),1
CAG,-4e-05,0.10101,0.99604,0.00231,Defenzívny (β<1),1
WEC,0.00496,0.13901,0.47914,0.0061,Defenzívny (β<1),1
DUK,-0.0001,0.1468,0.98815,0.00789,Defenzívny (β<1),1
STZ,0.02486,0.1621,0.00016,0.0106,Defenzívny (β<1),1
CMS,0.0062,0.16701,0.34282,0.01012,Defenzívny (β<1),1
CCI,0.0057,0.19219,0.35957,0.01472,Defenzívny (β<1),1
DRI,0.01026,0.19789,0.20316,0.0094,Defenzívny (β<1),1
D,0.00274,0.2103,0.61025,0.02327,Defenzívny (β<1),1
PCG,-0.00319,0.21707,0.68658,0.01157,Defenzívny (β<1),1
AEP,0.00338,0.22198,0.6168,0.0165,Defenzívny (β<1),1
DTE,0.00461,0.22648,0.43305,0.02265,Defenzívny (β<1),1
XEL,0.00449,0.23186,0.48157,0.02021,Defenzívny (β<1),1
TSN,0.01749,0.23764,0.06323,0.0101,Defenzívny (β<1),1
SRCL,-0.00685,0.25728,0.41139,0.01465,Defenzívny (β<1),1
KORS,-0.0006,0.27466,0.96482,0.0063,Defenzívny (β<1),1
EIX,0.00117,0.27833,0.89053,0.0163,Defenzívny (β<1),1
AWK,0.00889,0.28025,0.15222,0.03124,Defenzívny (β<1),1
NEM,-0.00392,0.2859,0.81139,0.00468,Defenzívny (β<1),1
NEE,0.00928,0.31503,0.15152,0.03616,Defenzívny (β<1),1
HCP,-0.01508,0.31674,0.08471,0.02048,Defenzívny (β<1),1
NI,-0.00582,0.31677,0.74898,0.00469,Defenzívny (β<1),1
EQIX,0.00883,0.32226,0.19222,0.03446,Defenzívny (β<1),1
EXC,-0.00036,0.33248,0.96383,0.02666,Defenzívny (β<1),1
SCG,-0.00773,0.33489,0.32936,0.02722,Defenzívny (β<1),1
CLX,0.00404,0.33597,0.48977,0.04899,Defenzívny (β<1),1
FE,-0.00716,0.34409,0.40739,0.02417,Defenzívny (β<1),1
T,-0.0026,0.34884,0.67723,0.04618,Defenzívny (β<1),1
MSI,0.00522,0.35505,0.46031,0.03789,Defenzívny (β<1),1
HCN,-0.00524,0.35647,0.50875,0.03059,Defenzívny (β<1),1
LLY,0.00243,0.36545,0.68967,0.05294,Defenzívny (β<1),1
WMT,0.00299,0.36806,0.64562,0.04753,Defenzívny (β<1),1
UAA,-0.00202,0.36869,0.88369,0.01097,Defenzívny (β<1),1
PNW,0.00166,0.37104,0.80307,0.04623,Defenzívny (β<1),1
