portfolio,Mean_Beta,Mean_Alpha,obdobie
1,0.216555,0.00501,1. polovica (02.2013–02.2016)
2,0.511171,0.002988,1. polovica (02.2013–02.2016)
3,0.695636,0.003996,1. polovica (02.2013–02.2016)
4,0.821291,0.001293,1. polovica (02.2013–02.2016)
5,0.94728,0.001765,1. polovica (02.2013–02.2016)
6,1.063909,0.000974,1. polovica (02.2013–02.2016)
7,1.165785,-0.00189,1. polovica (02.2013–02.2016)
8,1.286047,-0.003029,1. polovica (02.2013–02.2016)
9,1.44509,-0.002007,1. polovica (02.2013–02.2016)
10,1.852524,-0.00906,1. polovica (02.2013–02.2016)
1,0.06413,0.004318,2. polovica (03.2016–02.2018)
2,0.452632,0.006876,2. polovica (03.2016–02.2018)
3,0.63964,-0.000811,2. polovica (03.2016–02.2018)
4,0.799429,0.001713,2. polovica (03.2016–02.2018)
5,0.91991,-3.8e-05,2. polovica (03.2016–02.2018)
6,1.026742,0.001472,2. polovica (03.2016–02.2018)
7,1.158346,0.001529,2. polovica (03.2016–02.2018)
8,1.322115,0.000867,2. polovica (03.2016–02.2018)
9,1.508512,-0.003281,2. polovica (03.2016–02.2018)
10,2.11326,-0.012699,2. polovica (03.2016–02.2018)
