Location,Lat,Lon
Adelaide,-34.93,138.60
Albany,-35.02,117.88
Albury,-36.08,146.92
AliceSprings,-23.70,133.88
BadgerysCreek,-33.88,150.74
Ballarat,-37.56,143.86
Bendigo,-36.76,144.28
Brisbane,-27.47,153.03
Cairns,-16.92,145.77
Canberra,-35.28,149.13
Cobar,-31.50,145.83
CoffsHarbour,-30.30,153.12
Dartmoor,-37.92,141.28
Darwin,-12.46,130.84
GoldCoast,-28.02,153.40
Hobart,-42.88,147.33
Katherine,-14.47,132.26
Launceston,-41.43,147.16
Melbourne,-37.81,144.96
MelbourneAirport,-37.67,144.84
Mildura,-34.19,142.16
Moree,-29.46,149.84
MountGambier,-37.83,140.78
MountGinini,-35.53,148.77
Newcastle,-32.93,151.78
Nhil,-36.33,141.65
NorahHead,-33.28,151.57
NorfolkIsland,-29.04,167.95
Nuriootpa,-34.48,138.99
PearceRAAF,-31.67,116.02
Penrith,-33.75,150.69
Perth,-31.95,115.86
PerthAirport,-31.94,115.98
Portland,-38.35,141.60
Richmond,-33.60,150.75
Sale,-38.10,147.07
SalmonGums,-32.98,121.64
Sydney,-33.87,151.21
SydneyAirport,-33.95,151.18
Townsville,-19.26,146.82
Tuggeranong,-35.42,149.09
Uluru,-25.34,131.04
WaggaWagga,-35.11,147.37
Walpole,-34.98,116.73
Watsonia,-37.71,145.08
Williamtown,-32.79,151.84
Witchcliffe,-34.03,115.10
Wollongong,-34.42,150.89
Woomera,-31.20,136.82
