Location,n,sunshine_miss,evap_miss,cloud_miss,rain_rate
Adelaide,3366,44.7,46.2,100.0,22.3
Albany,3330,17.0,9.5,23.2,30.2
Albury,3335,100.0,100.0,52.8,20.6
AliceSprings,3341,16.8,7.2,11.8,8.3
BadgerysCreek,3220,100.0,100.0,100.0,20.0
Ballarat,3341,100.0,100.0,34.2,26.0
Bendigo,3299,100.0,61.0,25.5,18.2
Brisbane,3470,1.4,0.7,0.1,22.3
Cairns,3288,14.1,11.3,6.9,31.7
Canberra,3779,55.6,46.7,36.3,18.4
Cobar,3288,81.2,11.3,10.2,12.9
CoffsHarbour,3233,49.3,39.5,24.7,29.5
Dartmoor,3255,15.0,13.8,100.0,31.6
Darwin,3527,0.1,1.7,0.1,26.9
GoldCoast,3284,100.0,100.0,100.0,26.3
Hobart,3495,0.4,0.2,36.3,23.9
Katherine,1733,100.0,5.1,45.6,16.6
Launceston,3327,100.0,95.3,75.7,22.8
Melbourne,2701,0.0,0.0,19.2,25.8
MelbourneAirport,3335,0.1,0.1,0.0,21.8
Mildura,3289,4.3,3.8,4.8,10.8
Moree,3160,28.3,21.6,12.5,13.8
MountGambier,3317,14.6,13.4,3.7,30.6
MountGinini,3181,100.0,100.0,100.0,28.4
Newcastle,3226,100.0,100.0,29.2,24.9
Nhil,1710,100.0,100.0,100.0,15.3
NorahHead,3202,100.0,100.0,100.0,27.5
NorfolkIsland,3251,13.3,7.1,2.1,30.5
Nuriootpa,3290,5.0,4.0,25.4,19.7
PearceRAAF,3047,0.2,100.0,36.9,18.0
Penrith,3262,100.0,100.0,100.0,20.0
Perth,3519,0.1,0.0,0.1,20.2
PerthAirport,3299,0.2,0.0,0.1,19.0
Portland,3278,14.8,13.7,17.5,36.5
Richmond,3256,100.0,45.9,80.3,18.7
Sale,3288,39.2,38.8,13.2,21.4
SalmonGums,3261,100.0,100.0,100.0,15.5
Sydney,3682,0.5,1.6,16.8,26.0
SydneyAirport,3330,0.5,1.4,0.0,25.8
Townsville,3336,13.8,3.0,9.1,16.8
Tuggeranong,3281,100.0,100.0,100.0,19.1
Uluru,1669,100.0,100.0,72.7,7.7
WaggaWagga,3293,13.5,4.3,5.3,18.0
Walpole,3114,100.0,100.0,100.0,33.4
Watsonia,3299,0.0,0.1,0.0,24.8
Williamtown,2799,47.2,30.0,19.8,27.3
Witchcliffe,3249,100.0,100.0,100.0,29.7
Wollongong,3305,100.0,100.0,53.0,23.9
Woomera,3272,33.3,14.4,22.1,6.7
