hodina,priemer_mmol,median_mmol,sd_mmol,q25_mmol,q75_mmol
0,10.86,10.24,3.67,7.88,13.19
1,10.55,9.88,3.42,7.88,12.81
2,10.2,9.64,3.46,7.61,12.26
3,9.94,9.12,3.34,7.54,11.7
4,9.73,8.93,3.43,7.28,12.04
5,9.64,8.62,3.45,7.22,11.5
6,9.7,8.66,3.37,7.22,11.56
7,10.02,8.7,3.33,7.57,11.89
8,10.89,10.02,3.34,8.18,13.21
9,11.05,10.34,3.23,8.62,13.3
10,10.62,9.98,3.05,8.34,12.46
11,10.2,9.71,2.99,7.9,11.96
12,9.79,9.13,3.05,7.3,12.1
13,9.82,9.08,3.06,7.3,12.03
14,10.14,9.68,3.33,7.46,12.52
15,10.21,9.56,3.6,7.37,12.61
16,10.09,9.27,3.68,7.14,12.16
17,10.01,8.93,3.78,7.14,12.4
18,10.41,9.43,3.86,7.35,13.4
19,11.09,10.39,3.87,8.0,13.48
20,11.42,10.58,3.84,8.63,14.08
21,11.23,10.7,3.8,8.27,14.01
22,10.95,10.47,3.79,7.92,13.37
23,11.01,10.24,3.72,8.13,13.07
