IdObec,ObecNazov,FkIdOkres
1,Dolný Kubín,1
2,Dlhá nad Oravou,1
3,Horná Lehota,1
4,Chlebnice,1
5,Istebné,1
6,Jasenová,1
7,Kraľovany,1
8,Krivá,1
9,Leštiny,1
10,Malatiná,1
11,Medzibrodie nad Oravou,1
12,Oravská Poruba,1
13,Oravský Podzámok,1
14,Osádka,1
15,Párnica,1
16,Pokryváč,1
17,Pribiš,1
18,Pucov,1
19,Sedliacka Dubová,1
20,Veličná,1
21,Vyšný Kubín,1
22,Zázrivá,1
23,Žaškov,1
24,Bziny,1
25,Babín,35
26,Beňadovo,35
27,Bobrov,35
28,Breza,35
29,Hruštín,35
30,Klin,35
31,Krušetnica,35
32,Lokca,35
33,Lomná,35
34,Mútne,35
35,Námestovo,35
36,Novoť,35
37,Oravská Jasenica,35
38,Oravská Lesná,35
39,Oravská Polhora,35
40,Oravské Veselé,35
41,Rabča,35
42,Rabčice,35
43,Sihelné,35
44,Ťapešovo,35
45,Vasiľov,35
46,Vavrečka,35
47,Zákamenné,35
48,Zubrohlava,35
49,Brezovica,60
50,Čimhová,60
51,Habovka,60
52,Hladovka,60
53,Liesek,60
54,Nižná,60
55,Oravský Biely Potok,60
56,Podbiel,60
57,Suchá Hora,60
58,Štefanov nad Oravou,60
59,Trstená,60
60,Tvrdošín,60
61,Vitanová,60
62,Zábiedovo,60
63,Zuberec,60
