FkIdObec,FkIdPodtypSkoly,FkIdTypZriadovatela,FkIdSkRok,PocetSkol,PocetZiakov,PocetTried,PocetUcitelov
1,21,1,28,1,493,21,42
1,21,1,27,1,482,21,40
1,21,1,26,1,487,21,42
1,21,1,25,1,473,20,43
1,21,1,24,1,463,20,47
1,21,1,23,1,483,20,41
1,21,1,22,1,485,20,45
1,21,1,21,1,480,19,41
1,21,1,20,1,504,19,43
1,21,1,19,1,515,19,43
1,21,1,18,1,531,19,47
1,21,1,17,1,530,19,48
1,21,1,16,1,555,19,49
1,21,1,15,1,574,19,46
1,21,1,14,1,592,19,46
1,21,1,13,1,632,20,46
1,21,1,12,1,635,20,51
1,21,1,11,1,627,20,51
1,21,1,10,1,621,20,50
1,21,1,9,1,627,20,49
1,21,1,8,1,661,21,48
1,21,1,7,1,618,20,46
1,21,1,6,1,588,20,47
1,21,1,5,1,534,19,42
1,21,1,4,1,477,17,43
1,21,1,3,1,527,18,45
1,21,1,2,1,545,18,40
1,21,1,1,1,568,18,42
35,21,1,28,1,819,28,63
35,21,1,27,1,807,28,62
35,21,1,26,1,799,27,60
35,21,1,25,1,824,27,64
35,21,1,24,1,827,27,61
35,21,1,23,1,893,29,64
35,21,1,22,1,912,30,69
35,21,1,21,1,938,30,67
35,21,1,20,1,965,31,70
35,21,1,19,1,964,31,73
35,21,1,18,1,951,31,73
35,21,1,17,1,1008,33,80
35,21,1,16,1,1055,34,89
35,21,1,15,1,1116,35,80
35,21,1,14,1,1185,36,80
35,21,1,13,1,1197,36,91
35,21,1,12,1,1187,36,79
35,21,1,11,1,1159,36,75
35,21,1,10,1,1118,35,76
35,21,1,9,1,1050,33,72
35,21,1,8,1,994,31,68
35,21,1,7,1,842,26,56
35,21,1,6,1,715,23,47
35,21,1,5,1,600,20,44
35,21,1,4,1,510,17,39
35,21,1,3,1,510,17,40
35,21,1,2,1,463,15,35
35,21,1,1,1,452,14,36
59,21,1,28,1,487,24,42
59,21,1,27,1,503,24,41
59,21,1,26,1,528,24,46
59,21,1,25,1,545,24,46
59,21,1,24,1,577,25,50
59,21,1,23,1,592,26,52
59,21,1,22,1,611,27,54
59,21,1,21,1,598,26,53
59,21,1,20,1,615,26,56
59,21,1,19,1,636,25,56
59,21,1,18,1,646,24,56
59,21,1,17,1,667,24,56
59,21,1,16,1,684,24,55
59,21,1,15,1,707,24,54
59,21,1,14,1,717,24,58
59,21,1,13,1,761,25,56
59,21,1,12,1,753,25,56
59,21,1,11,1,741,25,56
59,21,1,10,1,747,25,56
59,21,1,9,1,727,24,53
59,21,1,8,1,740,26,53
59,21,1,7,1,700,26,52
59,21,1,6,1,717,27,55
59,21,1,5,1,675,25,50
59,21,1,4,1,655,24,47
59,21,1,3,1,724,26,52
59,21,1,2,1,751,26,48
59,21,1,1,1,799,24,50
60,21,1,28,1,182,11,21
60,21,1,27,1,181,12,19
60,21,1,26,1,170,12,18
60,21,1,25,1,183,12,18
60,21,1,24,1,187,12,19
60,21,1,23,1,196,12,19
60,21,1,22,1,203,12,19
60,21,1,21,1,194,11,21
60,21,1,20,1,211,11,19
60,21,1,19,1,232,11,24
60,21,1,18,1,260,12,26
60,21,1,17,1,292,13,25
60,21,1,16,1,337,14,28
60,21,1,15,1,352,14,29
60,21,1,14,1,351,13,29
60,21,1,13,1,368,13,27
60,21,1,12,1,335,12,27
60,21,1,11,1,333,12,29
60,21,1,10,1,349,13,29
60,21,1,9,1,377,14,31
60,21,1,8,1,387,15,34
60,21,1,7,1,387,15,36
60,21,1,6,1,402,15,35
60,21,1,5,1,429,15,35
60,21,1,4,1,380,13,31
60,21,1,3,1,358,12,31
60,21,1,2,1,306,10,21
60,21,1,1,1,249,8,20
1,22,1,28,4,1196,49,102
1,22,1,27,4,1225,50,104
1,22,1,26,4,1240,49,104
1,22,1,25,4,1298,56,109
1,22,1,24,4,1341,60,114
1,22,1,23,4,1430,60,118
1,22,1,22,4,1488,61,119
1,22,1,21,4,1488,64,131
1,22,1,20,4,1538,68,131
1,22,1,19,4,1623,73,133
1,22,1,18,4,1808,79,147
1,22,1,17,5,1860,78,137
1,22,1,16,5,1998,81,147
1,22,1,15,5,2034,81,143
1,22,1,14,5,2074,82,152
1,22,1,13,5,2131,83,146
1,22,1,12,2,811,28,71
1,22,1,11,2,810,28,75
1,22,1,10,2,835,31,69
1,22,1,9,2,830,29,76
1,22,1,8,3,851,30,77
1,22,1,7,3,843,29,83
1,22,1,6,4,1113,38,120
1,22,1,5,4,1039,35,114
1,22,1,4,5,1089,36,109
1,22,1,3,5,1179,38,130
1,22,1,2,5,1265,40,161
1,22,1,1,4,1324,37,142
35,22,1,28,2,822,38,64
35,22,1,27,2,823,38,64
35,22,1,26,2,842,40,63
35,22,1,25,2,816,40,59
35,22,1,24,2,869,40,59
35,22,1,23,2,914,40,61
35,22,1,22,2,947,40,60
35,22,1,21,2,974,41,61
35,22,1,20,3,1203,49,81
35,22,1,19,3,1211,50,79
35,22,1,18,3,1170,48,78
35,22,1,17,3,1163,48,75
35,22,1,16,3,1147,47,79
35,22,1,15,3,1183,48,95
35,22,1,14,3,1250,49,94
35,22,1,13,3,1280,49,95
35,22,1,12,1,293,9,40
35,22,1,11,2,307,9,23
35,22,1,10,2,299,9,67
35,22,1,9,2,319,10,65
35,22,1,8,2,342,11,26
35,22,1,7,2,322,11,17
35,22,1,6,4,407,14,28
35,22,1,5,4,420,15,31
35,22,1,4,4,356,13,32
35,22,1,3,3,444,15,69
35,22,1,2,3,466,15,60
35,22,1,1,3,471,14,59
54,22,1,28,0,0,0,0
54,22,1,27,0,0,0,0
54,22,1,26,0,0,0,0
54,22,1,25,0,0,0,0
54,22,1,24,1,572,24,43
54,22,1,23,1,593,24,44
54,22,1,22,1,605,25,44
54,22,1,21,1,645,28,46
54,22,1,20,1,664,29,46
54,22,1,19,1,657,30,45
54,22,1,18,1,660,29,47
54,22,1,17,1,668,28,46
54,22,1,16,1,699,31,46
54,22,1,15,1,708,30,51
54,22,1,14,1,765,30,47
54,22,1,13,1,716,29,50
54,22,1,12,0,0,0,0
54,22,1,11,1,50,2,18
54,22,1,10,1,25,1,12
54,22,1,9,0,0,0,0
54,22,1,8,0,0,0,0
54,22,1,7,0,0,0,0
54,22,1,6,0,0,0,0
54,22,1,5,0,0,0,0
54,22,1,4,0,0,0,0
54,22,1,3,0,0,0,0
54,22,1,2,0,0,0,0
54,22,1,1,0,0,0,0
60,22,1,28,2,677,33,67
60,22,1,27,2,680,33,67
60,22,1,26,2,643,31,66
60,22,1,25,2,638,30,62
60,22,1,24,2,637,29,64
60,22,1,23,2,646,29,63
60,22,1,22,2,672,28,66
60,22,1,21,2,711,29,63
60,22,1,20,2,713,28,62
60,22,1,19,2,725,30,65
60,22,1,18,2,775,32,69
60,22,1,17,2,797,33,69
60,22,1,16,2,824,33,70
60,22,1,15,2,893,35,75
60,22,1,14,2,943,36,79
60,22,1,13,2,965,37,77
60,22,1,12,1,765,28,67
60,22,1,11,2,787,28,69
60,22,1,10,2,831,28,73
60,22,1,9,2,900,28,74
60,22,1,8,2,887,28,74
60,22,1,7,2,810,26,70
60,22,1,6,2,782,26,72
60,22,1,5,2,746,25,65
60,22,1,4,2,748,25,68
60,22,1,3,2,834,27,70
60,22,1,2,2,883,28,103
60,22,1,1,2,879,28,104
5,22,1,28,0,0,0,0
5,22,1,27,0,0,0,0
5,22,1,26,0,0,0,0
5,22,1,25,0,0,0,0
5,22,1,24,0,0,0,0
5,22,1,23,0,0,0,0
5,22,1,22,0,0,0,0
5,22,1,21,0,0,0,0
5,22,1,20,0,0,0,0
5,22,1,19,0,0,0,0
5,22,1,18,0,0,0,0
5,22,1,17,1,168,10,13
5,22,1,16,1,214,10,13
5,22,1,15,1,249,10,13
5,22,1,14,1,259,11,19
5,22,1,13,1,278,12,16
5,22,1,12,0,0,0,0
5,22,1,11,0,0,0,0
5,22,1,10,0,0,0,0
5,22,1,9,0,0,0,0
5,22,1,8,0,0,0,0
5,22,1,7,0,0,0,0
5,22,1,6,0,0,0,0
5,22,1,5,0,0,0,0
5,22,1,4,0,0,0,0
5,22,1,3,0,0,0,0
5,22,1,2,0,0,0,0
5,22,1,1,0,0,0,0
13,22,1,28,0,0,0,0
13,22,1,27,0,0,0,0
13,22,1,26,0,0,0,0
13,22,1,25,0,0,0,0
13,22,1,24,0,0,0,0
13,22,1,23,0,0,0,0
13,22,1,22,0,0,0,0
13,22,1,21,0,0,0,0
13,22,1,20,0,0,0,0
13,22,1,19,0,0,0,0
13,22,1,18,0,0,0,0
13,22,1,17,0,0,0,0
