FkIdObec,FkIdVekKat,FkIdSkRok,PocetOsob
1,1,28,1588
1,1,27,1620
1,1,26,1647
1,1,25,1699
1,1,24,1714
1,1,23,1771
1,1,22,1782
1,1,21,1763
1,1,20,1761
1,1,19,1813
1,1,18,1803
1,1,17,1786
1,1,16,1844
1,1,15,1841
1,1,14,1856
1,1,13,1913
1,1,12,2028
1,1,11,2124
1,1,10,2242
1,1,9,2382
1,1,8,2561
1,1,7,2685
1,1,6,2802
1,1,5,3054
1,1,4,3185
1,1,3,3299
1,1,2,3349
1,1,1,3451
2,1,28,137
2,1,27,129
2,1,26,136
2,1,25,131
2,1,24,129
2,1,23,126
2,1,22,127
2,1,21,127
2,1,20,130
2,1,19,137
2,1,18,147
2,1,17,149
2,1,16,155
2,1,15,161
2,1,14,170
2,1,13,179
2,1,12,195
2,1,11,209
2,1,10,210
2,1,9,213
2,1,8,227
2,1,7,226
2,1,6,230
2,1,5,235
2,1,4,248
2,1,3,248
2,1,2,242
2,1,1,254
3,1,28,69
3,1,27,66
3,1,26,60
3,1,25,52
3,1,24,55
3,1,23,50
3,1,22,42
3,1,21,44
3,1,20,44
3,1,19,42
3,1,18,41
3,1,17,39
3,1,16,44
3,1,15,48
3,1,14,46
3,1,13,43
3,1,12,50
3,1,11,55
3,1,10,60
3,1,9,69
3,1,8,68
3,1,7,72
3,1,6,71
3,1,5,67
3,1,4,75
3,1,3,75
3,1,2,79
3,1,1,82
4,1,28,192
4,1,27,187
4,1,26,171
4,1,25,173
4,1,24,166
4,1,23,159
4,1,22,167
4,1,21,165
4,1,20,172
4,1,19,182
4,1,18,195
4,1,17,209
4,1,16,219
4,1,15,225
4,1,14,237
4,1,13,242
4,1,12,262
4,1,11,266
4,1,10,277
4,1,9,276
4,1,8,288
4,1,7,275
4,1,6,286
4,1,5,266
4,1,4,257
4,1,3,240
4,1,2,227
4,1,1,205
5,1,28,103
5,1,27,111
5,1,26,114
5,1,25,119
5,1,24,121
5,1,23,114
5,1,22,118
5,1,21,115
5,1,20,128
5,1,19,131
5,1,18,139
5,1,17,132
5,1,16,124
5,1,15,121
5,1,14,135
5,1,13,140
5,1,12,143
5,1,11,138
5,1,10,145
5,1,9,139
5,1,8,143
5,1,7,150
5,1,6,164
5,1,5,160
5,1,4,156
5,1,3,150
5,1,2,148
5,1,1,149
6,1,28,38
6,1,27,35
6,1,26,36
6,1,25,34
6,1,24,32
6,1,23,32
6,1,22,31
6,1,21,29
6,1,20,27
6,1,19,25
6,1,18,29
6,1,17,26
6,1,16,23
6,1,15,22
6,1,14,24
6,1,13,30
6,1,12,36
6,1,11,35
6,1,10,38
6,1,9,42
6,1,8,47
6,1,7,52
6,1,6,52
6,1,5,53
6,1,4,55
6,1,3,54
6,1,2,60
6,1,1,59
7,1,28,43
7,1,27,40
7,1,26,36
7,1,25,31
7,1,24,33
7,1,23,32
7,1,22,36
7,1,21,36
7,1,20,32
7,1,19,34
7,1,18,35
7,1,17,37
7,1,16,41
7,1,15,45
7,1,14,52
7,1,13,59
7,1,12,60
7,1,11,65
7,1,10,65
7,1,9,70
7,1,8,70
7,1,7,70
7,1,6,70
7,1,5,63
7,1,4,63
7,1,3,65
7,1,2,57
7,1,1,54
8,1,28,76
8,1,27,78
8,1,26,77
8,1,25,72
8,1,24,71
8,1,23,68
8,1,22,74
8,1,21,81
8,1,20,84
8,1,19,87
8,1,18,88
8,1,17,88
8,1,16,91
8,1,15,99
8,1,14,102
8,1,13,108
8,1,12,108
8,1,11,108
8,1,10,117
8,1,9,114
8,1,8,119
8,1,7,125
8,1,6,122
8,1,5,121
8,1,4,121
8,1,3,116
8,1,2,118
8,1,1,114
9,1,28,32
9,1,27,28
9,1,26,32
9,1,25,34
9,1,24,29
9,1,23,31
9,1,22,24
9,1,21,25
9,1,20,29
9,1,19,26
9,1,18,30
9,1,17,27
9,1,16,25
9,1,15,26
9,1,14,25
9,1,13,25
9,1,12,22
9,1,11,19
9,1,10,17
9,1,9,19
9,1,8,23
9,1,7,28
9,1,6,29
9,1,5,27
9,1,4,31
9,1,3,32
9,1,2,34
9,1,1,36
10,1,28,87
10,1,27,82
10,1,26,80
10,1,25,77
10,1,24,75
10,1,23,78
10,1,22,84
10,1,21,89
10,1,20,92
10,1,19,95
10,1,18,107
10,1,17,109
10,1,16,108
10,1,15,105
10,1,14,108
10,1,13,105
10,1,12,105
10,1,11,103
10,1,10,106
10,1,9,100
10,1,8,100
10,1,7,107
10,1,6,112
10,1,5,89
10,1,4,91
10,1,3,94
10,1,2,106
10,1,1,111
11,1,28,71
11,1,27,74
11,1,26,71
11,1,25,70
11,1,24,72
11,1,23,65
11,1,22,67
11,1,21,67
11,1,20,65
11,1,19,58
11,1,18,52
11,1,17,50
11,1,16,44
11,1,15,42
11,1,14,44
11,1,13,41
11,1,12,46
11,1,11,50
11,1,10,52
11,1,9,52
11,1,8,49
11,1,7,51
11,1,6,54
11,1,5,55
11,1,4,60
11,1,3,68
11,1,2,71
11,1,1,67
12,1,28,115
12,1,27,112
12,1,26,103
12,1,25,109
12,1,24,108
12,1,23,107
12,1,22,108
12,1,21,106
12,1,20,110
12,1,19,110
12,1,18,116
12,1,17,123
12,1,16,124
12,1,15,109
12,1,14,110
12,1,13,107
12,1,12,110
12,1,11,110
12,1,10,114
12,1,9,100
12,1,8,103
12,1,7,104
12,1,6,115
12,1,5,85
12,1,4,88
12,1,3,93
12,1,2,103
12,1,1,110
13,1,28,132
13,1,27,128
13,1,26,124
13,1,25,121
13,1,24,125
13,1,23,124
13,1,22,122
13,1,21,125
13,1,20,122
13,1,19,115
13,1,18,127
13,1,17,130
13,1,16,136
13,1,15,138
13,1,14,136
13,1,13,149
13,1,12,164
13,1,11,173
13,1,10,169
13,1,9,181
13,1,8,197
13,1,7,201
13,1,6,192
13,1,5,186
13,1,4,176
13,1,3,169
13,1,2,159
13,1,1,174
14,1,28,28
14,1,27,21
14,1,26,21
14,1,25,24
14,1,24,21
14,1,23,16
14,1,22,12
14,1,21,11
14,1,20,6
14,1,19,6
14,1,18,8
14,1,17,9
14,1,16,6
14,1,15,6
14,1,14,8
14,1,13,9
14,1,12,8
14,1,11,9
14,1,10,9
14,1,9,6
14,1,8,8
14,1,7,10
14,1,6,12
14,1,5,14
14,1,4,15
14,1,3,16
14,1,2,18
14,1,1,19
15,1,28,129
15,1,27,136
15,1,26,117
15,1,25,113
15,1,24,109
15,1,23,105
15,1,22,102
15,1,21,100
15,1,20,92
15,1,19,80
15,1,18,74
15,1,17,75
15,1,16,80
15,1,15,79
15,1,14,86
15,1,13,75
15,1,12,75
15,1,11,72
15,1,10,73
15,1,9,76
15,1,8,84
15,1,7,85
15,1,6,95
15,1,5,78
15,1,4,81
15,1,3,79
15,1,2,81
15,1,1,81
16,1,28,19
16,1,27,16
16,1,26,16
16,1,25,12
16,1,24,12
16,1,23,12
16,1,22,10
16,1,21,9
16,1,20,9
16,1,19,10
16,1,18,10
16,1,17,10
16,1,16,13
16,1,15,12
16,1,14,14
16,1,13,15
16,1,12,18
16,1,11,18
16,1,10,17
16,1,9,19
16,1,8,24
16,1,7,23
16,1,6,26
16,1,5,29
16,1,4,29
16,1,3,27
16,1,2,29
16,1,1,29
17,1,28,50
17,1,27,49
17,1,26,48
17,1,25,50
17,1,24,49
17,1,23,51
17,1,22,45
17,1,21,50
17,1,20,50
17,1,19,46
17,1,18,50
17,1,17,52
17,1,16,55
17,1,15,54
17,1,14,57
17,1,13,60
17,1,12,52
17,1,11,55
17,1,10,57
17,1,9,59
17,1,8,61
17,1,7,58
17,1,6,61
17,1,5,56
17,1,4,57
17,1,3,66
17,1,2,68
17,1,1,70
18,1,28,133
18,1,27,130
18,1,26,120
18,1,25,116
18,1,24,111
18,1,23,109
18,1,22,108
18,1,21,107
18,1,20,105
18,1,19,107
18,1,18,105
18,1,17,112
18,1,16,104
18,1,15,99
18,1,14,100
18,1,13,100
18,1,12,88
18,1,11,91
18,1,10,94
18,1,9,87
18,1,8,88
18,1,7,93
18,1,6,93
18,1,5,95
18,1,4,98
18,1,3,103
18,1,2,97
18,1,1,101
19,1,28,58
19,1,27,53
19,1,26,51
19,1,25,50
19,1,24,53
19,1,23,50
19,1,22,47
19,1,21,50
19,1,20,44
19,1,19,49
19,1,18,49
19,1,17,43
19,1,16,43
19,1,15,37
19,1,14,41
19,1,13,46
19,1,12,51
19,1,11,56
19,1,10,52
19,1,9,55
19,1,8,61
19,1,7,67
19,1,6,70
19,1,5,69
19,1,4,69
19,1,3,71
19,1,2,70
19,1,1,70
20,1,28,215
20,1,27,218
20,1,26,209
20,1,25,191
20,1,24,172
20,1,23,168
20,1,22,160
20,1,21,142
20,1,20,134
20,1,19,124
20,1,18,114
20,1,17,120
20,1,16,120
20,1,15,115
20,1,14,110
20,1,13,107
20,1,12,90
20,1,11,85
20,1,10,82
20,1,9,93
20,1,8,93
20,1,7,98
20,1,6,92
20,1,5,90
20,1,4,89
20,1,3,99
20,1,2,104
20,1,1,110
21,1,28,103
21,1,27,102
21,1,26,101
21,1,25,98
21,1,24,94
21,1,23,86
21,1,22,86
21,1,21,85
21,1,20,79
21,1,19,70
21,1,18,70
21,1,17,66
21,1,16,69
21,1,15,70
21,1,14,58
21,1,13,56
21,1,12,62
21,1,11,68
21,1,10,75
21,1,9,69
21,1,8,76
21,1,7,79
21,1,6,78
21,1,5,70
21,1,4,69
21,1,3,67
21,1,2,66
21,1,1,67
22,1,28,220
22,1,27,217
22,1,26,230
22,1,25,241
22,1,24,238
22,1,23,237
22,1,22,234
22,1,21,240
22,1,20,254
22,1,19,260
22,1,18,269
22,1,17,279
22,1,16,292
22,1,15,316
22,1,14,320
22,1,13,344
22,1,12,358
22,1,11,366
22,1,10,386
22,1,9,397
22,1,8,406
22,1,7,395
22,1,6,391
22,1,5,403
22,1,4,400
22,1,3,392
22,1,2,386
22,1,1,377
23,1,28,150
23,1,27,150
23,1,26,144
23,1,25,140
23,1,24,136
23,1,23,136
23,1,22,132
23,1,21,135
23,1,20,130
23,1,19,140
23,1,18,149
23,1,17,161
23,1,16,158
23,1,15,172
23,1,14,171
23,1,13,200
23,1,12,213
23,1,11,225
23,1,10,235
23,1,9,252
23,1,8,261
23,1,7,270
23,1,6,271
23,1,5,284
23,1,4,274
23,1,3,269
23,1,2,261
23,1,1,246
24,1,28,71
24,1,27,71
24,1,26,62
24,1,25,62
24,1,24,62
24,1,23,69
24,1,22,63
24,1,21,55
24,1,20,56
24,1,19,52
24,1,18,43
24,1,17,46
24,1,16,51
24,1,15,58
24,1,14,54
24,1,13,65
24,1,12,72
24,1,11,74
24,1,10,77
24,1,9,93
24,1,8,97
24,1,7,95
24,1,6,98
24,1,5,77
24,1,4,78
24,1,3,87
24,1,2,86
24,1,1,86
25,1,28,153
25,1,27,153
25,1,26,151
25,1,25,149
25,1,24,152
25,1,23,166
25,1,22,178
25,1,21,177
25,1,20,177
25,1,19,187
25,1,18,191
25,1,17,200
25,1,16,198
25,1,15,187
25,1,14,187
25,1,13,192
25,1,12,197
25,1,11,210
25,1,10,213
25,1,9,215
25,1,8,222
25,1,7,233
25,1,6,243
25,1,5,241
25,1,4,238
25,1,3,234
25,1,2,236
25,1,1,231
26,1,28,168
26,1,27,161
26,1,26,152
26,1,25,138
26,1,24,125
26,1,23,124
26,1,22,125
26,1,21,129
26,1,20,131
26,1,19,130
26,1,18,127
26,1,17,127
26,1,16,132
26,1,15,131
26,1,14,122
26,1,13,123
26,1,12,119
26,1,11,113
26,1,10,121
26,1,9,125
26,1,8,129
26,1,7,130
26,1,6,129
26,1,5,133
26,1,4,136
26,1,3,140
26,1,2,142
26,1,1,144
27,1,28,284
27,1,27,270
27,1,26,275
27,1,25,249
27,1,24,238
27,1,23,225
27,1,22,219
27,1,21,200
27,1,20,187
27,1,19,191
27,1,18,183
27,1,17,183
27,1,16,184
27,1,15,183
27,1,14,188
27,1,13,192
27,1,12,203
27,1,11,205
27,1,10,220
27,1,9,234
27,1,8,233
27,1,7,246
27,1,6,253
27,1,5,249
27,1,4,255
27,1,3,249
27,1,2,256
27,1,1,259
28,1,28,204
28,1,27,198
28,1,26,203
28,1,25,200
28,1,24,200
28,1,23,196
28,1,22,200
28,1,21,217
28,1,20,220
28,1,19,228
28,1,18,246
28,1,17,251
28,1,16,254
28,1,15,255
28,1,14,253
28,1,13,249
28,1,12,232
28,1,11,228
28,1,10,226
28,1,9,226
28,1,8,222
28,1,7,227
28,1,6,216
28,1,5,228
28,1,4,227
28,1,3,229
28,1,2,240
28,1,1,237
29,1,28,324
29,1,27,326
29,1,26,321
29,1,25,313
29,1,24,309
29,1,23,325
29,1,22,338
29,1,21,327
29,1,20,323
29,1,19,326
29,1,18,332
29,1,17,353
29,1,16,371
29,1,15,369
29,1,14,381
29,1,13,398
29,1,12,428
29,1,11,461
29,1,10,466
29,1,9,494
29,1,8,514
29,1,7,519
29,1,6,539
29,1,5,550
29,1,4,558
29,1,3,552
29,1,2,551
29,1,1,558
30,1,28,388
30,1,27,376
30,1,26,379
30,1,25,367
30,1,24,365
30,1,23,356
30,1,22,344
30,1,21,337
30,1,20,334
30,1,19,330
30,1,18,327
30,1,17,334
30,1,16,335
30,1,15,326
30,1,14,340
30,1,13,346
30,1,12,348
30,1,11,364
30,1,10,359
30,1,9,360
30,1,8,353
30,1,7,337
30,1,6,340
30,1,5,334
30,1,4,339
30,1,3,343
30,1,2,334
30,1,1,342
31,1,28,111
31,1,27,111
31,1,26,112
31,1,25,114
31,1,24,112
31,1,23,116
31,1,22,114
31,1,21,121
31,1,20,121
31,1,19,126
31,1,18,128
31,1,17,129
31,1,16,135
31,1,15,130
31,1,14,132
31,1,13,124
31,1,12,134
31,1,11,135
31,1,10,137
31,1,9,139
31,1,8,140
31,1,7,137
31,1,6,137
31,1,5,132
31,1,4,128
31,1,3,124
31,1,2,116
31,1,1,109
32,1,28,267
32,1,27,261
32,1,26,263
32,1,25,268
32,1,24,270
32,1,23,259
32,1,22,270
32,1,21,263
32,1,20,266
32,1,19,277
32,1,18,290
32,1,17,288
32,1,16,295
32,1,15,305
32,1,14,312
32,1,13,329
32,1,12,352
32,1,11,370
32,1,10,373
32,1,9,369
32,1,8,368
32,1,7,354
32,1,6,340
32,1,5,324
32,1,4,313
32,1,3,304
32,1,2,299
32,1,1,314
33,1,28,126
33,1,27,133
33,1,26,136
33,1,25,137
33,1,24,146
33,1,23,148
33,1,22,143
33,1,21,139
33,1,20,138
33,1,19,142
33,1,18,144
33,1,17,138
33,1,16,142
33,1,15,135
33,1,14,134
33,1,13,139
33,1,12,137
33,1,11,146
33,1,10,139
33,1,9,141
33,1,8,137
33,1,7,133
33,1,6,138
33,1,5,138
33,1,4,135
33,1,3,136
33,1,2,134
33,1,1,135
34,1,28,456
34,1,27,433
34,1,26,409
34,1,25,404
34,1,24,396
34,1,23,395
34,1,22,413
34,1,21,416
34,1,20,409
34,1,19,407
34,1,18,431
34,1,17,445
34,1,16,438
34,1,15,443
34,1,14,459
34,1,13,474
34,1,12,486
34,1,11,493
34,1,10,507
34,1,9,507
34,1,8,510
34,1,7,526
34,1,6,532
34,1,5,537
34,1,4,524
34,1,3,511
34,1,2,497
34,1,1,488
35,1,28,746
35,1,27,753
35,1,26,760
35,1,25,783
35,1,24,807
35,1,23,815
35,1,22,801
35,1,21,805
35,1,20,804
35,1,19,796
35,1,18,811
35,1,17,837
35,1,16,870
35,1,15,922
35,1,14,968
35,1,13,1027
35,1,12,1098
35,1,11,1170
35,1,10,1280
35,1,9,1360
35,1,8,1404
35,1,7,1484
35,1,6,1541
35,1,5,1548
35,1,4,1582
35,1,3,1537
35,1,2,1506
35,1,1,1468
36,1,28,526
36,1,27,519
36,1,26,521
36,1,25,512
36,1,24,508
36,1,23,513
36,1,22,514
36,1,21,489
36,1,20,488
36,1,19,489
36,1,18,481
36,1,17,494
36,1,16,504
36,1,15,527
36,1,14,541
36,1,13,546
36,1,12,572
36,1,11,587
36,1,10,594
36,1,9,588
36,1,8,586
36,1,7,597
36,1,6,590
36,1,5,567
36,1,4,558
36,1,3,530
36,1,2,504
36,1,1,497
37,1,28,246
37,1,27,245
37,1,26,233
37,1,25,224
37,1,24,231
37,1,23,228
37,1,22,226
37,1,21,239
37,1,20,240
37,1,19,244
37,1,18,238
37,1,17,248
37,1,16,243
37,1,15,225
37,1,14,224
37,1,13,216
37,1,12,223
37,1,11,221
37,1,10,223
37,1,9,227
37,1,8,222
37,1,7,225
37,1,6,235
37,1,5,204
37,1,4,205
37,1,3,221
37,1,2,234
37,1,1,235
38,1,28,436
38,1,27,431
38,1,26,429
38,1,25,432
38,1,24,437
38,1,23,444
38,1,22,453
38,1,21,443
38,1,20,442
38,1,19,433
38,1,18,458
38,1,17,467
38,1,16,461
38,1,15,465
38,1,14,467
38,1,13,469
38,1,12,468
38,1,11,477
38,1,10,495
38,1,9,494
38,1,8,498
38,1,7,520
38,1,6,522
38,1,5,541
38,1,4,537
38,1,3,512
38,1,2,497
38,1,1,479
39,1,28,557
39,1,27,553
39,1,26,528
39,1,25,530
39,1,24,547
39,1,23,536
39,1,22,544
39,1,21,535
39,1,20,544
39,1,19,529
39,1,18,532
39,1,17,543
39,1,16,561
39,1,15,569
39,1,14,592
39,1,13,611
39,1,12,648
39,1,11,670
39,1,10,707
39,1,9,713
39,1,8,725
39,1,7,730
39,1,6,732
39,1,5,724
39,1,4,705
39,1,3,670
