IdSkola,Nazov,Nazov_short,Ulica,FkIdObec,FkIdTypZriad,FkIdPodtypSkoly,SurX,SurY,Web
1000,"Spojená škola, Nižná","SŠ, Nižná",Hattalova 471,54,1,31,19.529,49.3079,www.spojenanizna.edu.sk
1703,"Základná škola s MŠ, Dlhá nad Oravou","ZŠ s MŠ, Dlhá nad Oravou",Dlhá nad Oravou 110,2,1,12,19.4468,49.2665,www.zsdlha.sk
1704,"Gymnázium P.O.Hviezdoslava, Dolný Kubín","Gymnázium P.O.Hviezdoslava, Dolný Kubín",Hviezdoslavovo nám. 18,1,1,21,19.2983,49.2066,www.gympoh.edu.sk
1705,"SOŠ polytechnická, Dolný Kubín","SOŠ polytechnická, Dolný Kubín",Jelšavská 404,1,1,22,19.3115,49.2387,www.sospknazia.sk
1706,"Základná škola, Kohútov sad, Dolný Kubín","ZŠ, Kohútov sad, Dolný Kubín",Kohútov sad 4,1,1,12,19.2945,49.2087,www.zsjmdk.edupage.org
1707,"Základná škola s MŠ, Komenského, Dolný Kubín","ZŠ s MŠ, Komenského, Dolný Kubín",Komenského 32,1,1,12,19.3184,49.234,www.zskomdk.edupage.org
1708,"Stredná zdravotná škola, Dolný Kubín","Stredná zdravotná škola, Dolný Kubín",M. Hattalu 2149,1,1,22,19.3057,49.2169,www.szsdk.sk
1709,"Spojená škola, Dolný Kubín","SŠ, Dolný Kubín",Matuškova 1631,1,1,31,19.2989,49.2052,
1714,"Súkromná SOŠ podnikania, Dolný Kubín","Súkromná SOŠ podnikania, Dolný Kubín",Nemocničná 2,1,3,22,19.3037,49.2109,
1716,"Cirkevná ZŠ s MŠ, Dolný Kubín","Cirkevná ZŠ s MŠ, Dolný Kubín",Okružná 25,1,2,12,19.2828,49.2119,www.zcsradlin.sk
1717,"Gymnázium pri Cirkevnej škole, Dolný Kubín","Gymnázium pri Cirkevnej škole, Dolný Kubín",Okružná 25,1,2,21,19.2829,49.2119,
1718,"SOŠ obchodu a služieb, Dolný Kubín","SOŠ obchodu a služieb, Dolný Kubín",Pelhřimovská 10,1,1,22,19.2831,49.2094,www.sosdk.sk
1719,"Obchodná akadémia, Dolný Kubín","Obchodná akadémia, Dolný Kubín",Radlinského 55,1,1,22,19.2933,49.2124,www.niest-oadk.edu.sk
1720,"Súkromná SOŠ, Dolný Kubín","Súkromná SOŠ, Dolný Kubín",SNP 14,1,3,22,19.2874,49.2118,sukromnaskolazemko.edupage.org
1721,"Základná škola, SNP, Dolný Kubín","ZŠ, SNP, Dolný Kubín",SNP 36,1,1,12,19.2852,49.2109,www.zsmkdk.sk
1722,"Základná škola, Hattalu, Dolný Kubín","ZŠ, Hattalu, Dolný Kubín",Ul. Martina Hattalu 2151,1,1,12,19.3057,49.2176,
1723,"Súkromná ZŠ s MŠ, Dolný Kubín","Súkromná ZŠ s MŠ, Dolný Kubín",Ul. Obrancov mieru 1779,1,3,11,19.2959,49.2115,www.skolajanos.sk
1724,"Základná škola s MŠ, Chlebnice","ZŠ s MŠ, Chlebnice",Chlebnice 134,4,1,12,19.4645,49.2305,www.zschlebnice.sk
1726,"Základná škola s MŠ, Istebné","ZŠ s MŠ, Istebné",Istebné 143,5,1,12,19.2213,49.2119,
1727,"Základná škola, Krivá","ZŠ, Krivá",Krivá 136,8,1,11,19.4815,49.2832,
1728,"Základná škola s MŠ, Malatiná","ZŠ s MŠ, Malatiná",Malatiná 70,10,1,12,19.4314,49.1871,www.zsmalatina.edupage.org
1729,"Základná škola s MŠ, Oravský Podzánok","ZŠ s MŠ, Oravský Podzánok",Oravský Podzámok 51,13,1,12,19.358,49.2612,
1731,"Základná škola, Pucov","ZŠ, Pucov",Pucov 112,18,1,11,19.3792,49.2187,www.zspucov.eud.sk
1733,"Základná škola, Zázrivá","ZŠ, Zázrivá",Stred 122,22,1,12,19.1499,49.2713,www.zszazriva.edu.sk
1734,"Základná škola s MŠ, Žaškov","ZŠ s MŠ, Žaškov",Školská 219/3,23,1,12,19.2122,49.1786,www.zszaskov.edupage.org
1874,"Základná škola s MŠ, Babín","ZŠ s MŠ, Babín",Babín,25,1,12,19.3824,49.3327,www.zsmsbabin.edupage.sk
1875,"Základná škola s MŠ, Beňadovo","ZŠ s MŠ, Beňadovo",Beňadovo,26,1,12,19.3416,49.4318,www.zsbenadovo.edupage.org
1876,"Základná škola s MŠ, Bobrov","ZŠ s MŠ, Bobrov",Nová cesta 361,27,1,12,19.5429,49.4278,www.zsbobrov.edu.sk
1877,"Základná škola s MŠ, Breza","ZŠ s MŠ, Breza",Breza 314,28,1,12,19.3858,49.3854,www.zsbreza.edupage.sk
1878,"Základná škola, Hruštín","ZŠ, Hruštín",Hruštínn 55,29,1,12,19.3494,49.3248,www.zshrustin.edupage.org
1879,"Základná škola s MŠ, Klin","ZŠ s MŠ, Klin",Kliňanská cesta 122/4,30,1,12,19.4814,49.443,www.zsklin.edupage.org
1880,"Základná škola s MŠ, Krušetnica","ZŠ s MŠ, Krušetnica",Krušetnica 83,31,1,12,19.3407,49.3773,https://zskrusetnica.edupage.o
1881,"Základná škola s MŠ, Lokca","ZŠ s MŠ, Lokca",Školská 71/3,32,1,12,19.4108,49.3663,www.zslokca.edupage.org
1882,"Základná škola s MŠ, Lomná","ZŠ s MŠ, Lomná",Lomná 36,33,1,11,19.3035,49.3621,
1883,"Základná škola s MŠ, Mútne","ZŠ s MŠ, Mútne",Mútne 224,34,1,12,19.3244,49.4604,www.zsmutne.wbl.sk
1887,"SOŠ podnikania a služieb, Námestovo","SOŠ podnikania a služieb, Námestovo",Hattalova 33,35,1,22,19.4799,49.4072,www.sosno.sk
1888,Cirkevná ZŠ sv. Gorazda,Cirkevná ZŠ sv. Gorazda,Komenského 1096,35,2,12,19.4805,49.4119,www.czsgorazd.sk
1889,"Základná škola, Komenského, Námestovo","ZŠ, Komenského, Námestovo",Komenského 33,35,1,12,19.4791,49.4112,
1890,SOŠ technická,SOŠ technická,Komenského 37,35,1,22,19.4824,49.4126,www.sousno.edu.sk
1891,"Odborné učilište pri špeciálnej škole, Námestovo","OU pri špeciálnej škole, Námestovo",Mila Urbana 45,35,1,32,19.4707,49.4028,
1892,"Gymnázium Antona Bernoláka, Námestovo","Gymnázium A. B., Námestovo",Mieru 23,35,1,21,19.4843,49.4077,www.gabnam.sk
1893,"Praktická škola, Námestovo","Praktická škola, Námestovo",Mila Urbana 45,35,1,33,19.4708,49.4028,www.szsinamestovo.edu.sk
1894,"Spojená škola internátna, Námestovo","SŠ internátna, Námestovo",Mila Urbana 45,35,1,31,19.4709,49.4028,www.szsinamestovo.edu.sk
1896,Súkromná spojená škola EDUCO,Súkromná SŠ EDUCO,Slanická osada 2178,35,3,22,19.5118,49.4016,www.slanickaosada.sk
1899,"Základná škola, Slnečná, Námestovo","ZŠ, Slnečná, Námestovo",Slnečná 28,35,1,12,19.4715,49.4052,www.zsbrehyno.edu.sk
1901,"Základná škola s MŠ, Novoť","ZŠ s MŠ, Novoť",Novoť 315,36,1,12,19.2702,49.4276,www.zsnovot.edupage.org
